link,pro_0,pro_1,pro_2
100234,0.9652777777777778,0.027777777777777776,0.006944444444444444
100270,0.901840490797546,0.09815950920245399,0.0
100332,0.992776886035313,0.0072231139646869984,0.0
100394,0.995711222301644,0.004288777698355968,0.0
100395,0.9909774436090225,0.006766917293233083,0.002255639097744361
100470,0.9601990049751243,0.03980099502487562,0.0
100509,0.9761904761904762,0.023809523809523808,0.0
100511,0.9873417721518988,0.006329113924050633,0.006329113924050633
100514,0.9249374478732277,0.06505421184320268,0.010008340283569641
100515,0.9196197061365601,0.059636992221261884,0.020743301642178046
100520,0.7642563198118754,0.04938271604938271,0.18636096413874192
100527,0.9692186266771902,0.007103393843725336,0.02367797947908445
100528,0.958302852962692,0.006583760058522311,0.03511338697878566
100578,0.6549202127659575,0.11768617021276596,0.22739361702127658
100579,0.760752688172043,0.05040322580645161,0.18884408602150538
100650,0.8818181818181818,0.10454545454545454,0.013636363636363636
100785,0.721357063403782,0.14015572858731926,0.13848720800889877
100842,1.0,0.0,0.0
100858,0.946236559139785,0.043010752688172046,0.010752688172043012
100860,0.9038167938931297,0.08702290076335878,0.00916030534351145
101191,0.8120089786756454,0.10213243546576879,0.08585858585858586
101192,0.8315186246418338,0.09627507163323783,0.07220630372492837
101278,0.8681318681318682,0.12912087912087913,0.0027472527472527475
101309,0.6244162775183456,0.333555703802535,0.042028018679119414
10144,0.9571428571428572,0.025714285714285714,0.017142857142857144
101781,0.878003696857671,0.09704251386321626,0.024953789279112754
101782,0.8921404682274248,0.09531772575250837,0.01254180602006689
101783,0.864406779661017,0.12146892655367232,0.014124293785310734
101784,0.8762626262626263,0.10353535353535354,0.020202020202020204
101785,0.9008579599618685,0.08579599618684461,0.01334604385128694
101786,0.8935331230283912,0.10410094637223975,0.002365930599369085
101787,0.905511811023622,0.08098987626546682,0.013498312710911136
101788,0.8700657894736842,0.12006578947368421,0.009868421052631578
101962,0.0,1.0,0.0
101970,0.7287390029325513,0.24486803519061584,0.026392961876832845
101971,0.8142664872139973,0.17765814266487215,0.008075370121130552
101972,0.7415254237288136,0.24152542372881355,0.01694915254237288
101973,0.8445945945945946,0.14864864864864866,0.006756756756756757
101978,0.8823529411764706,0.10588235294117647,0.011764705882352941
101979,0.8175257731958763,0.1824742268041237,0.0
102052,0.9402017291066282,0.05547550432276657,0.004322766570605188
10239,0.7472009428403065,0.23158515026517384,0.02121390689451974
10245,0.6736543909348441,0.1631728045325779,0.1631728045325779
102499,0.3470790378006873,0.41237113402061853,0.24054982817869416
102500,0.39285714285714285,0.5,0.10714285714285714
102570,0.9349945828819068,0.05850487540628386,0.0065005417118093175
102571,0.9601769911504425,0.03982300884955752,0.0
102598,0.9676923076923077,0.03230769230769231,0.0
102599,0.9673676577229877,0.021754894851341553,0.010877447425670777
102674,0.9153567110036276,0.05078597339782346,0.03385731559854897
102680,0.6086956521739131,0.34782608695652173,0.043478260869565216
102681,0.7320143884892086,0.22661870503597123,0.04136690647482014
102682,0.7034606205250596,0.2553699284009546,0.04116945107398568
102709,0.7069271758436945,0.29307282415630553,0.0
102920,0.946515397082658,0.05348460291734198,0.0
102957,0.894927536231884,0.09420289855072464,0.010869565217391304
102974,0.84251968503937,0.12992125984251968,0.027559055118110236
102976,0.7058125741399762,0.269276393831554,0.02491103202846975
102977,0.86,0.132,0.008
103195,0.4520547945205479,0.4212328767123288,0.1267123287671233
103196,0.4806378132118451,0.2870159453302961,0.23234624145785876
103341,0.9662542182227222,0.03374578177727784,0.0
103342,0.9523809523809523,0.04285714285714286,0.004761904761904762
10348,0.8989547038327527,0.06968641114982578,0.0313588850174216
10350,0.8831615120274914,0.09621993127147767,0.020618556701030927
104932,0.952,0.048,0.0
1049,0.8721804511278195,0.08270676691729323,0.045112781954887216
1050,0.847457627118644,0.0847457627118644,0.06779661016949153
1051,0.9398496240601504,0.022556390977443608,0.03759398496240601
105675,0.9676724137931034,0.02586206896551724,0.00646551724137931
105677,0.9240837696335078,0.060209424083769635,0.015706806282722512
106511,0.7504322766570605,0.14812680115273774,0.10144092219020173
106512,0.921602787456446,0.07317073170731707,0.005226480836236934
106513,0.8116343490304709,0.17174515235457063,0.01662049861495845
106514,0.9576719576719577,0.031746031746031744,0.010582010582010581
106515,0.828140703517588,0.15979899497487438,0.012060301507537688
106531,1.0,0.0,0.0
106569,0.925948223961469,0.06321493076459964,0.010836845273931367
106606,0.6856060606060606,0.2765151515151515,0.03787878787878788
106608,0.8222222222222222,0.16444444444444445,0.013333333333333334
106616,0.7636022514071295,0.23639774859287055,0.0
106618,0.8292046936114733,0.16688396349413298,0.003911342894393742
106652,0.9477958236658933,0.048723897911832945,0.0034802784222737818
106656,0.9498886414253898,0.018374164810690423,0.03173719376391982
106657,0.9532374100719424,0.023381294964028777,0.023381294964028777
106661,0.9854368932038835,0.007281553398058253,0.007281553398058253
106782,0.6813616071428571,0.19866071428571427,0.11997767857142858
106806,0.201949860724234,0.7792479108635098,0.018802228412256268
106807,0.4671717171717172,0.5195707070707071,0.013257575757575758
106814,0.9380580357142857,0.06194196428571429,0.0
106834,0.9666136724960255,0.026232114467408585,0.007154213036565978
106894,0.7039473684210527,0.28289473684210525,0.013157894736842105
106907,0.09090909090909091,0.09090909090909091,0.8181818181818182
106909,0.3333333333333333,0.3333333333333333,0.3333333333333333
106910,0.9735216240070609,0.01588702559576346,0.01059135039717564
106911,0.976148409893993,0.013250883392226149,0.01060070671378092
106912,0.9481481481481482,0.03333333333333333,0.018518518518518517
106921,0.9004739336492891,0.07582938388625593,0.023696682464454975
106922,0.9432534678436317,0.03783102143757881,0.018915510718789406
106932,0.9430803571428571,0.036830357142857144,0.020089285714285716
106951,0.5275175644028103,0.12997658079625293,0.34250585480093676
106952,0.5078431372549019,0.0803921568627451,0.4117647058823529
106955,0.9316923076923077,0.031384615384615386,0.036923076923076927
106956,0.0,0.5,0.5
106957,1.0,0.0,0.0
106973,0.9727272727272728,0.023076923076923078,0.004195804195804196
106974,1.0,0.0,0.0
106975,0.9774436090225563,0.0,0.022556390977443608
106983,0.9671314741035857,0.0,0.03286852589641434
106984,0.9850894632206759,0.0,0.014910536779324055
106994,0.9689807976366323,0.026587887740029542,0.004431314623338257
106995,0.9698189134808853,0.02414486921529175,0.006036217303822937
107015,0.5,0.25,0.25
107022,0.7916666666666666,0.125,0.08333333333333333
107023,1.0,0.0,0.0
107039,0.9193729003359462,0.07390817469204927,0.006718924972004479
107065,0.9244837758112094,0.071976401179941,0.0035398230088495575
107078,0.9383177570093458,0.05420560747663551,0.007476635514018692
107081,0.9645494830132939,0.026587887740029542,0.008862629246676515
107082,0.9768041237113402,0.015463917525773196,0.007731958762886598
107125,0.6375404530744336,0.32362459546925565,0.038834951456310676
107126,0.9517326732673267,0.04826732673267327,0.0
107128,0.9022801302931596,0.06840390879478828,0.029315960912052116
107275,0.9426142401700319,0.044633368756641874,0.012752391073326248
107276,0.918918918918919,0.07335907335907337,0.007722007722007722
107281,0.963020030816641,0.03697996918335902,0.0
107286,0.9507523939808481,0.02051983584131327,0.028727770177838577
107292,0.9608516483516484,0.026785714285714284,0.012362637362637362
107305,0.9475982532751092,0.034934497816593885,0.017467248908296942
107306,0.813953488372093,0.18604651162790697,0.0
107307,0.715625,0.273125,0.01125
107350,0.4339622641509434,0.4528301886792453,0.11320754716981132
107353,0.6923076923076923,0.2153846153846154,0.09230769230769231
107368,0.896551724137931,0.06620689655172414,0.037241379310344824
107369,0.8741007194244604,0.11510791366906475,0.01079136690647482
107370,0.9210526315789473,0.06315789473684211,0.015789473684210527
107371,0.9390519187358917,0.040632054176072234,0.020316027088036117
107446,0.9642058165548099,0.015659955257270694,0.020134228187919462
107449,0.9638783269961977,0.013307984790874524,0.022813688212927757
107480,0.9790859798605732,0.011618900077459334,0.009295120061967466
107481,0.9720028715003589,0.019382627422828428,0.008614501076812634
107659,0.8808864265927978,0.11080332409972299,0.008310249307479225
107661,0.8848263254113345,0.04021937842778794,0.07495429616087751
109352,0.9366197183098591,0.06338028169014084,0.0
109353,0.8712871287128713,0.10891089108910891,0.019801980198019802
109356,0.9229050279329609,0.07709497206703911,0.0
109357,0.9461325966850829,0.04558011049723757,0.008287292817679558
109358,0.9178571428571428,0.08214285714285714,0.0
109359,0.8973384030418251,0.09505703422053231,0.0076045627376425855
